brand,vineyard,year,value,average_rating,price
Ukan,Senderos de UKAN,2020,Good Value,4.2,25.99
Domaine Delhome,LoEss Crozes-Hermitage,2022,Great Value,4.2,26.99
Schloss Lieser,Wehlener Sonnenuhr Riesling Spätlese,2016,Great Value,4.2,28.99
Flint Vineyard,Charmat Rosé,2023,Great Value,4.2,24.99
Fattorie Parri,Tenuta Il Monte Vin Santo del Chianti Montespertoli Riserva,2015,No Score,4.2,29.99
Weingut Max Ferd. Richter,Mülheimer Sonnenlay Riesling Auslese Trocken,2023,Great Value,4.2,28.99
Miguel Merino,Vitola Reserva,2018,Good Value,4.2,28.99
Larry Cherubino,Laissez Faire Pinot Noir,2022,Amazing Value!,4.2,22.99
Brunilde di Menzione,Brindisi Riserva,2019,Great Value,4.2,13.99
KWV,The Mentors Orchestra,2020,Great Value,4.2,19.85
Alpha Box & Dice,Blood of Jupiter,2021,Great Value,4.2,26.85
Familia Torres,Fransola,2021,Great Value,4.2,27.5
Schola Sarmenti,Nerìo Riserva  Negroamaro - Malvasia Nera,2019,Great Value,4.2,16.99
Silent Noise,MF Grenache,2022,Amazing Value!,4.2,19.25
Terres Fidèles,Organic Côtes du Roussillon Villages,2021,Amazing Value!,4.2,13.99
Hispano Suizas,Bobos Finca Casa la Borracha,2021,Good Value,4.2,28.99
Familia Torres,Salmos,2020,Good Value,4.2,26.99
Von Siebenthal,Carabantes Syrah,2021,Good Value,4.2,27.95
Merum Priorati,Inici,2021,Good Value,4.2,28.99
Château Fabre Gasparets,Boutenac,2020,Great Value,4.2,22.99
Domaine François et Julien Pinon,Silex Noir Vouvray,2019,Great Value,4.2,25.0
Salzl Seewinkelhof,Figaro,2021,Amazing Value!,4.2,19.99
Philippe Girard,Sancerre Silex,2023,Great Value,4.2,26.5
Post House,Stamp of Chenin,2022,Great Value,4.2,18.99
Groote Post,Seasalter Sauvignon Blanc - Sémillon,2023,Great Value,4.2,17.35
Haut-Marin,Venus Gros Manseng,2022,Amazing Value!,4.2,11.49
Domaine Font de Notre Dame,Gigondas,2021,Great Value,4.2,22.2
De Bortoli,Noble One Botrytis Sémillon,2020,No Score,4.2,20.75
Scacciadiavoli,Sagrantino di Montefalco,2018,Good Value,4.2,28.85
Undurraga,Terroir Hunter Carmenère (T.H.),2022,Good Value,4.2,22.2
Von Siebenthal,Carmenère Gran Reserva,2020,Good Value,4.2,22.49
Produttori Vini Manduria,Elegia Primitivo di Manduria Riserva,2020,Fair Value,4.2,23.99
Bressia,Profundo,2018,Good Value,4.2,28.25
El Coto,Coto de Imaz Rioja Gran Reserva,2017,Good Value,4.2,25.2
La Mascaronne,Provence Rosé,2023,Great Value,4.2,23.5
Mino & Co,A Growers Touch Botrytis Sémillon,2018,No Score,4.2,14.4
Painted Wolf,Guillermo Pinotage,2020,Great Value,4.2,17.99
Cave de Turckheim,Gewürztraminer Alsace Vendanges Tardives,2020,No Score,4.2,24.05
Domaine Feuillat-Juillot,Montagny 1er Cru 'Les Jardins',2023,Good Value,4.2,29.99
David Nieuwoudt,Ghost Corner The Bowline,2019,Great Value,4.2,28.5
Schola Sarmenti,Cubardi Primitivo,2020,Good Value,4.2,19.99
Turkey Flat,Pedro Ximénez,Unknown Year,No Score,4.2,23.99
Château Ramon,Monbazillac,2020,No Score,4.2,16.99
W. & J. Graham's,10 Year Old Tawny Port,Unknown Year,Amazing Value!,4.2,19.99
Angus Paul,On a Flight of Furious Fancies,2023,Good Value,4.2,27.95
Château Mille Roses,Haut-Médoc,2017,Amazing Value!,4.2,25.16
Ripalte,Rosso,2013,Great Value,4.2,25.16
Ziraldo,Riesling Icewine,2012,No Score,4.2,26.95
Château Mille Roses,Haut-Médoc,2018,Amazing Value!,4.2,28.43
Château d'Arche,A de Château d’Arche Bordeaux Blanc,2021,Great Value,4.2,21.45
Von Siebenthal,Parcela #7 Gran Reserva,2019,Great Value,4.2,23.49
Anthonij Rupert,Optima,2020,Good Value,4.2,23.35
Disznókó,Dorgó Vineyard Tokaji Édes Szamorodni,2018,No Score,4.2,26.49
Herdade do Sobroso,Reserva Tinto,2022,Good Value,4.2,19.5
Andreas,Syrah,2021,Good Value,4.2,25.0
Tinto Pesquera,Crianza,2021,Good Value,4.2,25.0
Ferrador,Treixadura - Torrontés,2022,Great Value,4.2,22.9
Kettmeir,Athesis Pinot Bianco,2021,Great Value,4.2,29.2
Ritterhof,Gratus Cabernet Sauvignon,2020,Great Value,4.2,28.6
Il Palazzo,Sal Terrae,2019,Great Value,4.2,23.3
Colombaio di Cencio,Monticello Chianti Classico,2022,Great Value,4.2,21.5
Farina,Recioto della Valpolicella Classico,2023,No Score,4.2,27.8
Il Palazzo,Sal Terrae,2020,Great Value,4.2,23.3
Garofoli,Grosso Agontano Riserva,2020,Great Value,4.2,26.8
Ritterhof,Goldmuskateller,2023,Great Value,4.2,21.1
Conti Thun,Gioia Riviera del Garda Classico Bianco,2021,Great Value,4.2,22.8
Muruasiccu,Rosso,2021,Good Value,4.2,29.6
Cantine Truentum,Malamore Montepulciano d'Abruzzo Riserva,2020,Great Value,4.2,20.3
Storm,Wild Air Sauvignon Blanc,2022,Great Value,4.2,26.85
Château Filhot,Sauternes (Grand Cru Classé),2016,No Score,4.2,23.5
Umani Ronchi,Maximo Marche Bianco,2021,No Score,4.2,28.0
Vigneron Firmin Dezat,Pouilly-Fumé,2023,Great Value,4.2,22.0
Cantina La-Vis,Ritratto Rosso,2016,Great Value,4.2,25.8
Cantine Truentum,Truentum Riva Sud,2021,Great Value,4.2,22.8
Cantina Gries,Lagrein Prestige Riserva,2021,Great Value,4.2,28.3
Zonin,Amarone della Valpolicella,2021,Good Value,4.2,29.7
Vallepicciola,Chianti Classico Riserva,2020,Great Value,4.2,27.7
Masottina,Vigneto Rizzardo Ai Pallazi Colli di Conegliano,2017,Great Value,4.2,27.8
Girlan,Flora Gewürztraminer,2022,Great Value,4.2,28.6
Diemersdal,Private Collection,2022,Good Value,4.2,27.6
Pietra Pura,Cotis Primitivo di Manduria,2019,Good Value,4.2,26.5
Li Veli,'Askos' Susumaniello,2022,Good Value,4.2,24.2
Barone di Serramarrocco,Quojane di Serramarrocco,2023,Great Value,4.2,21.5
Matteo Correggia,Marùn Barbera d'Alba Superiore,2021,Good Value,4.2,29.9
Serafini & Vidotto,Phigaia (After The Red),2021,Great Value,4.2,24.5
Casal Farneto,8 Otto Borghi,2021,Great Value,4.2,21.1
Casalforte,Amarone della Valpolicella,2019,Good Value,4.2,26.5
Bastianich,Vespa Bianco,2020,Great Value,4.2,29.7
Tenuta Romana,Integritas Cuvée Bianco,2023,Great Value,4.2,20.9
Belisario,Cambrugiano Verdicchio di Matelica Riserva,2020,Great Value,4.2,23.7
Lauriga,Soleil Blanc,2020,Great Value,4.2,25.3
Podere Prospero,Bolgheri,2021,Good Value,4.2,29.2
Cantine Truentum,Reomoro Colli Aprutini,2022,Amazing Value!,4.2,18.7
Barbanera,Gigino 80 Anniversario Bianco,2023,Great Value,4.2,21.5
Bosco del Merlo,Roggio dei Roveri Refosco del Peduncolo Riserva,2019,Great Value,4.2,22.8
Ottella,Molceo Lugana Riserva,2021,Great Value,4.2,26.9
Familia Schroeder,Saurus Barrel Fermented Malbec,2021,Good Value,4.2,29.9
Masseria Borgo dei Trulli,Liala Negroamaro,2022,Great Value,4.2,26.5
Cà dei Frati,Ronchedone Rosso,2021,Great Value,4.2,24.9
Maxale,Appassimento Primitivo,2022,Good Value,4.2,17.0
Mara,Maramia Sangiovese,2019,Great Value,4.2,27.8
Barbanera,Collezione Famiglia Vecciano Toscana,2021,Great Value,4.2,22.0
Antinori,Castello della Sala San Giovanni della Sala Classico Superiore,2023,Great Value,4.2,23.3
The Prisoner,Saldo Red Blend,2021,Amazing Value!,4.2,26.9
De Stefani,Rive di Refrontolo Valdobbiadene Prosecco Superiore Millesimato Extra Brut,2022,Amazing Value!,4.2,22.1
Nunzio Ghiraldi,Sant'Onorata '1953' Lugana,2020,Great Value,4.2,25.9
Conti Thun,Contessa Lene Sauvignon Blanc,2022,Great Value,4.2,29.6
Batasiolo,Bosc D'la Rei Moscato d'Asti,2023,Amazing Value!,4.2,15.9
Nativ,Suadens Campania Bianco,2022,Great Value,4.2,21.7
Maccone,Primitivo,2022,Fair Value,4.2,23.0
Leza García,Gran Reserva,2016,Good Value,4.2,27.5
Tagaro,Mancinello Nero di Troia,2021,Great Value,4.2,19.2
Biserno,Campo di Sasso Insoglio del Cinghiale,2023,Great Value,4.2,27.8
Salsedine,Primitivo,2022,Good Value,4.2,17.9
Leone de Castris,Villa Santera Primitivo di Manduria,2022,No Score,4.2,25.0
Diemersdal,Pinotage Reserve,2022,Good Value,4.2,29.4
Monte Zovo,Valpolicella Ripasso Superiore,2021,Great Value,4.2,24.7
Cantine due Palme,Selvarossa Riserva,2020,Good Value,4.2,22.1
Colombaio di Cencio,Massi del Colombaio Chianti Classico Riserva,2019,Great Value,4.2,26.4
Casa Marin,Cipreses Vineyard Sauvignon Blanc,2022,Great Value,4.2,24.38
Emiliana,Coyam,2020,No Score,4.2,24.68
Mora & Memo,Tino Vermentino di Sardegna,2022,Great Value,4.2,21.03
Ferreira,Dona Antonia 10 Años White Port,Unknown Year,No Score,4.2,20.14
Pazo de Rubianes,Albariño,2022,Good Value,4.2,26.34
Proprieta Sperino,Uvaggio,2019,Great Value,4.2,26.98
Marqués de Riscal,Rioja Reserva,2019,Great Value,4.2,21.81
Two Paddocks,Riesling,2021,Good Value,4.2,26.41
Teatro Latino,IL Covo,2021,Great Value,4.2,18.89
Bodegas Marqués de Cáceres,Gran Reserva Vendimia Seleccionada,2015,Good Value,4.2,25.23
La Rioja Alta,Viña Alberdi Reserva,2019,Good Value,4.2,23.75
Emilio Moro,Ribera del Duero,2020,Good Value,4.2,28.16
Weinrieder,Grüner Veltliner Ried Schneiderberg,2022,Amazing Value!,4.2,19.23
Rijk's,Private Cellar Chenin Blanc,2023,Great Value,4.2,20.91
Herdade Monte Da Cal,Vinha de Saturno Arinto - Antão Vaz,2018,Good Value,4.2,26.23
Guelbenzu,Lombana,2009,Good Value,4.2,20.95
Domaine Jérémy Arnaud,Bourgogne Tonnerre 'Les Huées',2021,Great Value,4.2,26.99
Domaine Jérémy Arnaud,Bourgogne Tonnerre 'Les Huées',2022,Great Value,4.2,27.0
Château La Tour Blanche,Sauternes (Premier Grand Cru Classé),1996,No Score,4.2,24.99
Rupert & Rothschild,Classique,2020,Great Value,4.2,20.0
Tenuta Ulisse,Amaranta Montepulciano d'Abruzzo,2020,Great Value,4.2,21.99
Marqués de Murrieta,Reserva Rioja (Finca Ygay),2019,Good Value,4.2,24.95
Château Fonplégade,Fleur de Fonplégade Saint-Emilion,2019,Great Value,4.2,29.5
Domaines Ott,Clos Mireille Rosé (Coeur de Grain),2021,Good Value,4.2,30.0
Cartuxa,Évora Colheita Branco,2019,Good Value,4.2,25.75
Figuero,Viñas Viejas,2017,Good Value,4.2,30.0
Domaine du Pech,Le Pech Abusé Vendanges Manuelles,2016,Amazing Value!,4.2,27.8
Vinessens - Casa Balaguer,Salicornio Malvasía,2022,Great Value,4.2,18.95
Ovum,Big Salt Orange Rosé,2023,No Score,4.2,26.6
Le Roc des Anges,Segna de Cor,2022,Great Value,4.2,23.62
Clos Pons,Pla del Tet,2020,Good Value,4.2,27.0
PolOpuesto,El Otro Lado,2021,Good Value,4.2,27.6
Martin & Anna Arndorfer,Schlehe,2023,Amazing Value!,4.2,19.85
Partida Creus,GT (Garrut),2021,Good Value,4.2,29.8
Gentle Folk Wine,Vin de Sofa,2022,Great Value,4.2,25.8
Alheit Vineyards,Hereafter Here Chenin Blanc,2022,Good Value,4.2,26.99
Simonsig,Redhill Pinotage,2020,Great Value,4.2,24.98
Tokara,Director's Reserve White,2016,Good Value,4.2,30.0
Coroncino,Gaiospino,2020,Good Value,4.2,30.0
Petit Vega,18 Meses,2020,Good Value,4.2,25.0
Osmote,This is Red Pet-Nat,2022,No Score,4.2,26.0
Val delle Rose,Poggio al Leone Morellino di Scansano Riserva,2019,Great Value,4.2,23.0
Marjan Simčič,Teodor Bianco,2021,No Score,4.2,30.0
Cloudy Bay,Sauvignon Blanc,2023,Good Value,4.2,27.0
Andreas,Syrah,2018,Great Value,4.2,23.5
Dahu,Blanc,2017,No Score,4.2,25.0
Alpha Domus,Noble Selection,2015,No Score,4.2,24.99
The First XI Infinity Wines,The Partnership,2019,Good Value,4.2,30.0
The First XI Infinity Wines,The Belter,2020,Good Value,4.2,25.0
Cape of Good Hope,Altima Sauvignon Blanc,2023,Great Value,4.2,15.5
Gedeelte Wines,Authentic 23,2021,Good Value,4.2,29.0
Edgebaston,David Finlayson Camino Africana Chenin Blanc Old Vine,2019,Good Value,4.2,30.0
Château Roubine,Amistà Edmond de Rothschild Heritage Cru Classe Rosé,2022,Great Value,4.2,30.0
Bloemendal,Suider Terras,2017,Good Value,4.2,30.0
Vincent Paris,Granit 30 Cornas,2021,Great Value,4.2,30.0
Bosman Family Vineyards,Optenhorst Chenin Blanc,2022,Great Value,4.2,23.0
Vina Robles,Estate Cabernet Sauvignon,2020,Great Value,4.2,30.0
Penfolds,Father Grand Tawny (10 Year Old),Unknown Year,No Score,4.2,28.95
David & Nadia,Aristargos,2020,No Score,4.2,29.95
Catena Alta,Cabernet Sauvignon,2018,Good Value,4.2,28.95
Tenuta Scuotto,Oi nì,2020,Great Value,4.2,27.95
Selladore,En Provence Rosé,2023,Great Value,4.2,20.95
Terre degli Svevi,Serpara Aglianico del Vulture,2016,Great Value,4.2,27.95
Luigi Bosca,De Sangre Malbec,2022,Great Value,4.2,19.95
MaÏa,Côtes de Provence Rosé,2023,Great Value,4.2,19.95
Silent Noise,Cloudy But Fine Chardonnay,2022,Amazing Value!,4.2,22.95
Tenuta Scuotto,Taurasi,2017,Good Value,4.2,28.95
Falasco Wines,Hermandad Red Blend,2021,Fair Value,4.2,25.95
Rupert & Rothschild,Baroness Nadine,2022,Good Value,4.2,27.95
Horgelus,Colombard - Sauvignon Côtes de Gascogne,2022,Great Value,4.2,13.95
Anysbos,Grenache Noir,2018,Good Value,4.2,26.0
Gedeelte Wines,Gedeelte 6 Sauvignon Blanc,2019,Amazing Value!,4.2,22.0
Gedeelte Wines,Gedeelte 6 Sauvignon Blanc,2022,Great Value,4.2,29.0
Cape of Good Hope,Altima Sauvignon Blanc,2022,Great Value,4.2,15.5
Gedeelte Wines,Authentic 23,2020,Good Value,4.2,28.0
Gedeelte Wines,Gedeelte 23 Palomino,2021,No Score,4.2,29.0
Carinus,Rooidraai,2022,Good Value,4.2,27.0
Domaine Les Pallières,Gigondas Terrasse du Diable,2020,Great Value,4.2,26.0
Castello di Potentino,Jaspidem Rosato di Sangiovese,2019,Amazing Value!,4.2,17.5
Château d'Esclans,Rosé,2020,Great Value,4.2,29.0
Waterkloof,Boreas,2020,Good Value,4.2,30.0
Naia,Naiades,2019,Great Value,4.2,27.0
Raats,Red Jasper,2020,Good Value,4.2,25.49
Avondale,Samsara Syrah,2016,Good Value,4.2,27.95
Luigi Bosca,De Sangre,2021,No Score,4.2,26.95
Bodegas Olarra,Cerro Añon Rioja Gran Reserva,2018,Great Value,4.2,21.95
Sigurd,White Blend,2021,No Score,4.2,27.95
Lothian Vineyards,Vineyard Selection Pinot Noir,2020,Great Value,4.2,29.95
Pulenta Estate,Malbec (I),2022,Great Value,4.2,24.95
Mira do Ó,Druida Encruzado Reserva,2021,Good Value,4.2,29.95
Château Ramon,Monbazillac,2021,Great Value,4.2,17.95
Von Siebenthal,Carmenère Gran Reserva,2019,Great Value,4.2,22.95
Quinta do Noval,Cedro do Noval,2022,Great Value,4.2,19.95
Sandeman,Royal Ambrosante Pedro Ximénez Aged 20 Years Old,Unknown Year,No Score,4.2,24.95
Amoterra,Trebbiano d'Abruzzo Biologico,2023,Amazing Value!,4.2,12.99
Chartham,Rosé de Noir Brut,2020,Great Value,4.2,30.0
Domaine du Landreau,La Coulée Coteaux du Layon,2018,Great Value,4.2,22.2
Jean Pabiot,Kiméride Pouilly-Fumé,2020,Great Value,4.2,24.0
Benguela Cove,Noble Late Harvest,2020,No Score,4.2,10.99
Groot Constantia,Shiraz,2018,Great Value,4.2,23.5
Château Court-Les-Mûts,Cuvée Annabelle Blanc Sec,2020,Amazing Value!,4.2,18.5
Lanzerac,Bergpad,2023,No Score,4.2,22.99
Hanewald-Schwerdt,Dürkheim Weissburgunder,2021,Great Value,4.2,14.99
Bruce Jack,Heritage Collection Boer Maak'n Plan Chenin Blanc,2022,Great Value,4.2,23.0
Seifried Estate,Winemaker's Collection Sweet Agnes Riesling,2019,No Score,4.2,18.6
Sonberk,Pálava,2020,No Score,4.2,29.9
Mickael Bourg,Saint-Peray,2018,Amazing Value!,4.2,12.6
Solomnishvili Winery,#22 Saperavi,2018,No Score,4.2,27.95
Mansalto,Castello Rapale,2018,Good Value,4.2,30.0
Andreas,Syrah,2019,Great Value,4.2,24.99
'L Lac,Bianco,2023,Great Value,4.2,24.0
De Grendel,Op die Berg Syrah,2019,Good Value,4.2,25.95
Alto Wine Estate,Cabernet Sauvignon,2018,Great Value,4.2,21.95
Barbadillo,Atamán Vermut,Unknown Year,No Score,4.2,22.9
Barbadillo,Atamán Vermut,Unknown Year,No Score,4.2,22.9
Domaine du Petit Val,Bonnezeaux,2020,Good Value,4.2,23.5
Villa Sandi,Sauvignon Tardo,2022,Great Value,4.2,18.75
Gasper Wines,Selekuja Rebula,2019,No Score,4.2,29.0
M'Hudi,Barrel Fermented Chenin Blanc,2021,Great Value,4.2,22.95
Branko,Capo,2017,Great Value,4.2,23.9
Guerrini,Il Terziere,2013,Great Value,4.2,27.9
Martinez Alesanco,Nada Que Ver Maturana Tinta,2019,Good Value,4.2,27.0
Vigné-Lourac,L'Ame Rouge,2019,Great Value,4.2,19.5
Jean-Max Roger,Le Charnay Cuvée Menetou-Salon Blanc,2020,Great Value,4.2,24.95
André van Rensburg,Cabernet Sauvignon - Merlot,2021,Good Value,4.2,27.95
Château Laulerie,Juste Ciel,2020,Amazing Value!,4.2,16.8
De Grendel,Koetshuis Sauvignon Blanc,2023,Amazing Value!,4.2,17.95
Lourens Family,Lindi Carien White Blend,2022,No Score,4.2,29.5
BLANKbottle,Moment of Silence,2022,No Score,4.2,22.99
Domaine Corty,Jurançon,2019,Amazing Value!,4.2,17.99
Masut Da Rive,Maurus Chardonnay,2020,Great Value,4.2,26.9
RUMOR,Rosé,2022,Great Value,4.2,16.99
Chiorri,Selezione Antonio Chiorri Rosso,2018,Great Value,4.2,21.95
Luddite,Saboteur,2017,Good Value,4.2,29.9
Sesti,Monteleccio,2021,Amazing Value!,4.2,18.9
Château Sigalas Rabaud,Sauternes (Premier Grand Cru Classé),2002,No Score,4.2,21.0
Bocale,Montefalco Sagrantino,2019,Good Value,4.2,29.5
Pierpaolo Pecorari,Sauvignon Blanc,2021,Great Value,4.2,19.9
Arca Yaco,Imagínate El Vino,2019,Good Value,4.2,24.2
Martinez Alesanco,Selección,2016,Good Value,4.2,23.4
Cantina La-Vis,Maso Franch,2017,Great Value,4.2,27.95
Suavia,Le Rive,2012,Great Value,4.2,29.0
Bremerton,Selkirk Shiraz,2020,Great Value,4.2,18.5
Girlan,Flora Gewürztraminer,2019,Great Value,4.2,26.9
Krohn,Quinta do Retiro Novo Vintage Port,2004,Great Value,4.2,27.0
Château Doisy-Daëne,Barsac (Grand Cru Classé),2018,No Score,4.2,30.0
Dama del Rovere,Bortolo Vigne Vecchie Soave Classico,2017,Amazing Value!,4.2,19.75
Winbirri Vineyards,Vintage Reserve,2016,Great Value,4.2,30.0
Bruce Jack,Heritage Collection Home Truth Cabernet Sauvignon,2013,Great Value,4.2,23.0
Weingut am Kaiserbaum,Lerchenspiel Rieslaner Auslese,2017,No Score,4.2,19.5
San Salvatore,Jungano Aglianico Paestum,2020,Great Value,4.2,26.5
Clos de Gat,Har'El Cabernet Sauvignon,2019,No Score,4.2,20.1
Clos de Gat,Har'El Syrah,2022,Great Value,4.2,24.0
Château Doisy-Daëne,Barsac (Grand Cru Classé),2009,No Score,4.2,27.0
Ventisquero,Vertice,2021,No Score,4.2,27.9
Jean Pabiot,Pouilly-Fumé Domaine des Fines Caillottes,2023,Great Value,4.2,19.8
Bernard Defaix,Chablis 1er Cru 'Côte de Lechet',2022,Great Value,4.2,30.0
De Bortoli,Noble One Botrytis Sémillon,2018,No Score,4.2,21.0
Weingut Vollenweider,Wolfer Goldgrube Riesling Spätlese,2020,Great Value,4.2,25.95
J.M. Boillot,Mâcon-Cruzille,2022,Great Value,4.2,27.35
Louis Tête,La Bonne Dame Fleurie,2022,Amazing Value!,4.2,19.95
Undurraga,Terroir Hunter Cauquenes Cabernet Sauvignon (T.H.),2020,Great Value,4.2,21.28
Ixsir,Grande Reserve White,2022,Great Value,4.2,25.42
Diel,Pittermannchen Riesling Kabinett,2019,Great Value,4.2,25.25
Diel,Pittermannchen Riesling Kabinett,2021,Great Value,4.2,25.58
Della Vite,Valdobbiadene Prosecco Superiore,Unknown Year,Amazing Value!,4.2,24.5
Perez Cruz,Petit Verdot Chaski,2020,No Score,4.2,27.17
Château de l'Ou,Compartir,2019,Great Value,4.2,29.5
Domaine Gayrard,Loin de l'Oeil,2022,Great Value,4.2,20.81
Château Suduiraut,Castelnau de Suduiraut Sauternes,2015,No Score,4.2,18.0
Perez Cruz,Carmenère Limited Edition,2022,Great Value,4.2,19.95
ArmAs,Karmrahyut Reserve,2015,No Score,4.2,28.09
Château Villefranche,Sauternes,2022,No Score,4.2,14.2
Dominio do Bibei,Lapola,2021,Great Value,4.2,29.95
Sandeman,Quinta do Seixo Vintage Port,2013,Great Value,4.2,23.5
Franz Haas,Manna Schweizer,2018,Great Value,4.2,21.3
Ramón Bilbao,Gran Reserva Rioja (Tempranillo),2015,Good Value,4.2,23.95
La Giuva,Il Rientro,2019,Good Value,4.2,29.76
Feudi di Guagnano,Nero di Velluto Negroamaro,2014,Great Value,4.2,15.95
Odfjell,Aliara,2014,No Score,4.2,23.36
Matteo Correggia,La Val dei Preti Riserva,2020,Great Value,4.2,29.29
Lan,Gran Reserva Rioja,2016,Good Value,4.2,27.5
Verum,María Victoria,2017,Good Value,4.2,24.45
Bodega Garzón,Single Vineyard Tannat,2020,No Score,4.2,29.99
Mount Horrocks,Cordon Cut,2022,No Score,4.2,28.0
Soito,Encruzado Branco,2023,Great Value,4.2,20.95
Casa da Passarella,O Oenólogo Encruzado,2021,Good Value,4.2,29.5
Lan,Viña Lanciano Reserva,2017,Good Value,4.2,28.55
Maximin Grünhaus,Maximin Grünhäuser Abtsberg Riesling Kabinett,2020,Great Value,4.2,24.8
Mar de Frades,Finca Valiñas,2015,Good Value,4.2,27.4
Elena Walch,Lagrein Riserva Vigna Castel Ringberg,2015,Great Value,4.2,25.69
Pietro Caciorgna,Guardoilvento Etna,2022,Good Value,4.2,24.75
Domaine des Anges,Chablis,2022,Great Value,4.2,27.55
Pietro Caciorgna,Guardoilvento Etna,2022,Good Value,4.2,24.75
Cà dei Frati,Rosa dei Frati Riviera del Garda Classico Rosé,2022,Amazing Value!,4.2,21.5
Negro Angelo,Birbèt Mosto d'Uva Parzialmente Fermentato,2023,No Score,4.2,14.85
Séptima,Gran Reserva,2016,Amazing Value!,4.2,19.21
Perez Cruz,Cot Limited Edition,2021,Great Value,4.2,19.95
Ferreira,Dona Antonia 10 Años Old Tawny Porto,Unknown Year,Great Value,4.2,25.8
Casa Ferreirinha,Callabriga Douro,2021,Good Value,4.2,22.75
Bonterra,The Roost Blue Heron Vineyards Chardonnay,2022,Great Value,4.2,28.99
Volpaia,Castello di Volpaia Chianti Classico Riserva,2018,Great Value,4.2,25.0
Rapaura Springs,Reserve Marlborough Sauvignon Blanc,2023,Good Value,4.2,16.95
Gouffier,Cuvée Aquaviva Bourgogne Aligoté,2021,Great Value,4.2,28.55
Belguardo,Tenuta Belguardo,2016,Great Value,4.2,28.12
Le Regge,Chianti Classico,2018,Great Value,4.2,23.5
Jaro,Jaros,2019,Good Value,4.2,22.42
Colinas de São Lourenço,Calcario3 do Principal,2012,Great Value,4.2,23.99
Lua Cheia - Saven,Maria Bonita Nostalgia Alvarinho,2022,Great Value,4.2,14.18
Péter Pince,Tokaji Szamorodni,2019,Amazing Value!,4.2,14.99
Herdade da Calada,Caladessa Syrah,2021,Amazing Value!,4.2,16.28
Perica,Olagosa Reserva,2012,Great Value,4.2,19.0
Vondeling Wines,Barrel Selection Chardonnay,2022,Great Value,4.2,18.0
Natte Valleij,Axle Chenin Blanc,2022,Great Value,4.2,27.0
Thorne & Daughters,Rocking Horse Cape White,2021,No Score,4.2,25.25
Attis,Sangarida La Yegua Godello - Doña Blanca,2020,Great Value,4.2,29.5
Miles Mossop Wines,Kika,2020,No Score,4.2,22.25
Paserene,Midnight,2019,Good Value,4.2,26.5
Vondeling Wines,Barrel Selection Chardonnay,2022,Great Value,4.2,18.0
Quinta da Pellada,Quinta de Saes Reserva Estágio Prolongado,2017,Great Value,4.2,26.75
Baglio Gibellina,U...Passimiento Rosse,2022,Great Value,4.2,14.5
St. Petroni,Branco Vermú,Unknown Year,No Score,4.2,25.25
Markovitis,Alkemi,2023,No Score,4.2,23.5
AltoLandon,Dulce Enero Ice Wine,2022,No Score,4.2,24.25
Iona,Solace,2020,Good Value,4.2,29.5
Can Axartell,Rosado,2023,Great Value,4.2,21.0
Quinta de la Quietud,In Quietud by Nature,2020,Good Value,4.2,23.25
Rulei,Viña Barracallo Chenin Blanc Fermented In Barrel,2020,Great Value,4.2,27.5
Quinta da Pedra,Milagres Alvarinho,2019,Great Value,4.2,22.4
2800,Rosé,2022,Great Value,4.2,14.1
Weingut R&A Pfaffl,Austrian Pepper Grüner Veltliner,2023,Amazing Value!,4.2,13.4
Tokara,Cabernet Sauvignon Reserve Collection,2020,Good Value,4.2,28.99
Arnegui,Gran Reserva,2013,Good Value,4.2,24.98
Bizoe,Genant SGM,2020,Great Value,4.2,24.95
Jean Becker,Gewürztraminer Alsace Grand Cru 'Sonnenglanz',2017,Great Value,4.2,29.95
Domaine du Grand Tinel,Châteauneuf-du-Pape,2021,No Score,4.2,17.95
Domaine Bousquet,Ameri Eva Estate Organic Red Blend,2019,Good Value,4.2,30.0
Montauto,Enos I,2020,Good Value,4.2,27.95
Domaine Jean-Pierre Sève,Sélection Vieilles Vignes Pouilly-Fuissé,2022,Good Value,4.2,30.0
Bethany,First Village Shiraz,2019,Great Value,4.2,19.95
Château des Roques,Vertige des Gouttes Vacqueyras,2016,Good Value,4.2,30.0
Quinta da Silveira,Reserva Ruby Porto,Unknown Year,Great Value,4.2,21.95
I Buongiorno,Fiano,2023,Great Value,4.2,15.75
Château Villefranche,Sauternes,2020,Good Value,4.2,25.25
Vondeling Wines,Barrel Selection Cabernet Sauvignon,2019,Great Value,4.2,18.0
Vondeling Wines,Sweet Carolyn,2022,No Score,4.2,23.5
Can Axartell,Corum,2022,Great Value,4.2,28.5
Della Vite,Prosecco Rosé Millesimato,2022,Amazing Value!,4.2,28.49
Alpasión,Grand Malbec,2021,Good Value,4.2,28.09
Benguela Cove,Joie de Vivre Brut,2019,Good Value,4.2,28.99
El Esteco,Fincas Notables Cabernet Franc,2020,Good Value,4.2,23.27
Dom Brial,Dom Ici Macabeu,2023,Amazing Value!,4.2,11.99
Ômina Romana,Chardonnay,2021,Good Value,4.2,27.01
Craggy Range,Sauvignon Blanc Te Muna Road Vineyard,2022,Great Value,4.2,20.75
Château l'Hospitalet,Grand Vin La Clape Blanc,2019,Amazing Value!,4.2,28.68
Olifantsberg,Soul Of The Mountain The Matriarch,2019,No Score,4.2,27.93
Rojomoma,Wild Scarlet Shiraz - Cabernet,2018,Great Value,4.2,22.53
